ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
AMER3;0,6388421339901333;0,6388421339901333;0,6388421339901333;Consumer Cyclical;6,9125004;0,19369528;;;;;3;False
SAPR4;0,6469097747777833;0,631090098061627;0,6374179687480895;Utilities;7,0384617;0,7858574;6,0300004;-4,9;14,932;0,2994;4;False
SBFG3;0,6331508653216189;0,6331508653216189;0,6331508653216189;Consumer Cyclical;7,0049767;0,93755096;1,6;80,0;19,356;0,082600005;3;False
USIM5;0,5811145539947703;0,6666244830449781;0,632420511424895;Basic Materials;6,4610705;0,30668524;4,73;;0,013;0,3987;5;False
PNVL3;0,7299743506147156;0,5605615586783184;0,6283266754528772;Healthcare;8,184466;1,0530919;5,53;50,0;8,871;0,63490003;3;False
MILS3;0,634022273178958;0,6244918702439264;0,628304031417939;Industrials;7,145675;1,5276895;9,6499994;9,8;20,322001;0,3657;3;False
ITUB4;0,5627783724581629;0,6409523448940457;0,6096827559196926;Financial Services;6,878212;1,6154311;0,61000003;27,0;20,044999999999998;0,6366;4;False
GRND3;0,6014547878310097;0,6014547878310097;0,6014547878310097;Consumer Cyclical;7,52;1,3202248;7,249999999999999;66,5;17,659001;0,4425;3;False
SLCE3;0,6035412835115284;0,5989975298117971;0,6008150312916896;Consumer Defensive;7,5599275;1,6885537;4,7;-99,4;7,074999999999999;0,9958;3;False
YDUQ3;0,596664659427861;0,5940170458347133;0,5950760912719724;Consumer Defensive;7,6408544;1,0659584;2,6700001;62,9;6,389;;3;False
BRFS3;0,595470946301697;0,5931524836562724;0,5940798687144422;Consumer Defensive;7,6549025;1,9343971;3,52;;21,966;;3;False
SMTO3;0,5243785427226139;0,6280056307411308;0,586554795533724;Basic Materials;7,0885806;1,148289;3,95;-21,8;16,605;0,4266;3;False
ALPK3;0,5826734575914054;0,5866325693024612;0,5850489246180389;Industrials;7,7608433;1,8390805;;;-3,842;;3;False
TGMA3;0,5724955928893518;0,5791284654923246;0,5764753164511355;Industrials;7,882776;2,435689;10,05;50,6;27,582002;0,6947;3;False
VULC3;0,5670023410463776;0,5670023410463776;0,5670023410463776;Consumer Cyclical;8,079811;2,285828;7,489999999999999;23,3;27,028999999999996;1,685;3;False
VIVA3;0,5569002734626152;0,5569002734626152;0,5569002734626152;Consumer Cyclical;8,2439575;2,015033;1,96;40,699999999999996;23,953;0,1761;3;False
CMIG4;0,5580918908785824;0,5559515573898541;0,5568076907853454;Utilities;8,259373;1,162198;6,6199996;165,2;30,506;0,6095;4;False
ARML3;0,5460165355713045;0,5596055497603935;0,5541699440847578;Industrials;8,2;1,3750699;7,91;19,0;16,785;0,5388;3;False
PSSA3;0,49077670719246846;0,5949710299880315;0,5532933008698062;Financial Services;7,6253533;1,6733257;4,279999999999999;-4,3999999999999995;20,199;0,27899998;3;False
COGN3;0,5437409557627919;0,5556863686150801;0,5509082034741648;Consumer Defensive;8,263682;0,28221253;;;-3,1040002;;3;False
KEPL3;0,5384946983455547;0,5540597256570736;0,5478337147324661;Industrials;8,290113;2,3631322;5,81;-9,8;33,817002;0,35869998;3;False
RANI3;0,5475831868076628;0,5475831868076628;0,5475831868076628;Consumer Cyclical;8,395349;1,3602109;2,2800000000000002;-41,5;9,864;1,0498;3;False
TIMS3;0,6579759361757656;0,4728776811268257;0,5469169831464016;Communication Services;9,609224;1,6081736;1,8900000000000001;-3,8;12,033000000000001;0,86550003;3;False
NEOE3;0,5464883480402598;0,5461351416274223;0,5462764241925573;Utilities;8,418878;0,74464905;5,55;-45,6;12,2320004;0,26770002;3;False
MATD3;0,6127531896790679;0,49320545617565015;0,5410245495770172;Healthcare;9,278922;0,9614924;1,91;186,4;-18,597001;0,1826;3;False
AZZA3;0,5349005290383739;0,5349005290383739;0,5349005290383739;Consumer Cyclical;8,601427;0,8397427;6,87;66,60000000000001;9,7770005;0,37080002;3;False
HYPE3;0,6029989687978892;0,4876006123380514;0,5337599549219865;Healthcare;9,369994;1,0421631;5,43;-24,4;13,22;0,4415;3;False
CPFE3;0,5290803057626109;0,5314082101213811;0,5304770483778729;Utilities;8,658173;1,9369217;16,389999;1,4000000000000001;26,949;0,5786;3;False
FLRY3;0,5893748481793737;0,4797720969269711;0,5236131974279321;Healthcare;9,497198;1,2673186;7,75;-2,7;11,456;0,6121;3;False
CSUD3;0,2775006598493045;0,6607841018486383;0,5074707250489048;Technology;6,5559697;1,5719781;5,43;-6,2;21,250999;0,4834;3;False
BMOB3;0,60627846467627;0,4391330403525615;0,505991210082045;Communication Services;10,157534;1,0976242;7,95;35,3;10,6800005;0,3755;3;False
LIGT3;0,4992532972324847;0,5061750273977115;0,5034063353316207;Utilities;9,068182;0,521978;;;-6,845999999999999;;3;False
DIRR3;0,325313239033845;0,6142469675180492;0,4986734761243675;Real Estate;7,3121424;2,6454003;10,69;113,99999999999999;29,388002;0,7931;3;False
CBAV3;0,4152307563362707;0,5537113307501358;0,49831910098458976;Basic Materials;8,295774;0,9557034;;;-12,981000000000002;;3;False
GUAR3;0,4923185600435389;0,4923185600435389;0,4923185600435389;Consumer Cyclical;9,293333;0,6748644;1,78;;4,2379998;0,73800004;3;False
GOLL4;0,4427209670421779;0,4834460907715882;0,4671560412798241;Industrials;9,4375;;;;;;4;False
CEAB3;0,46376150158611074;0,46376150158611074;0,46376150158611074;Consumer Cyclical;9,757351;1,0200365;3,35;;12,16;;3;False
LREN3;0,4574592217331659;0,4574592217331659;0,4574592217331659;Consumer Cyclical;9,8597555;1,4277041;4,4099998000000005;47,4;12,265999599999999;0,50189996;3;False
LJQQ3;0,4538520943549661;0,4538520943549661;0,4538520943549661;Consumer Cyclical;9,918367;0,84053963;5,42;;10,1239994;0,5855;3;False
TFCO4;0,4425483074371068;0,4425483074371068;0,4425483074371068;Consumer Cyclical;10,10204;3,3604887;1,87;-9,5;26,639998;0,28170002;4;False
RENT3;0,4122489830040018;0,4609792042273835;0,44148711573803084;Industrials;9,80256;1,3432897;5,12;19,900000000000002;6,6139996000000005;0,9894;3;False
MDIA3;0,4080020900707584;0,4573757386575148;0,4376262792228122;Consumer Defensive;9,861112;0,99974394;1,06;-51,9;10,7130006;0,2759;3;False
EGIE3;0,4227027962359461;0,4414145008003789;0,4339298189746058;Utilities;10,120463;2,7559888;4,4499997;-24,5;39,259;0,2592;3;False
LOGN3;0,3946404065486535;0,44799646280392935;0,42665404030181897;Industrials;10,013514;2,5212655;;;-3,4610000000000003;;3;False
NGRD3;0,1404101027240151;0,6118641088281066;0,42328250638646997;Technology;7,350861;0,43684885;0,67000003;;-2,7590000999999997;1,2974;3;False
GMAT3;0,42263964019896005;0,42263964019896005;0,42263964019896005;Consumer Cyclical;10,425532;1,7504168;2,7199999999999998;21,4;15,015;0,2544;3;False
ISAE4;0,4074383958304445;0,42850105679173;0,42007599240721577;Utilities;10,330291;0,79400074;9,9300005;135,60000000000002;17,389;0,439;4;False
CXSE3;0,3091004890995206;0,47894994402787483;0,4110101620565332;Financial Services;9,510557;3,4683425;9,49;26,3;29,56;1,1091;3;False
MRVE3;0,1312268613296529;0,5110209229943001;0,35910329832844123;Real Estate;8,989442;0,51057994;;;-4,6669997;;3;False
VSTE3;0,0;0,5924284610661521;0,3554570766396912;;7,666667;;;;;;3;False
DXCO3;0,23635299375516094;0,4319534958465615;0,35371329501000126;Basic Materials;10,274193;0,7793002;0,73;-68,89999999999999;5,2470002000000004;0,5181;3;False
LOGG3;0,11782468056334561;0,5038928899769253;0,3494656062114934;Real Estate;9,105264;0,46625018;9,0299994;53,5;9,386999999999999;0,6703;3;False
VITT3;0,22292029247643785;0,42281017584409786;0,34285422249703384;Basic Materials;10,422761;1,4001473;3,05;-17,599999999999998;11,413;0,6515;3;False
